        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-03 00:00:00-03 | 2020-02-03 00:00:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15077.7 | 15071.1
 2020-02-03 00:00:08-03 | 2020-02-03 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15077.7 | 15058.5
 2020-02-03 00:00:12-03 | 2020-02-03 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15077.7 |   15017
 2020-02-03 00:00:16-03 | 2020-02-03 00:00:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15017 | 15009.8
 2020-02-03 00:00:20-03 | 2020-02-03 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15017 | 15021.3
 2020-02-03 00:00:24-03 | 2020-02-03 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15017 | 15034.4
 2020-02-03 00:00:28-03 | 2020-02-03 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15017 | 15037.7
 2020-02-03 00:00:32-03 | 2020-02-03 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15017 |   15041
 2020-02-03 00:00:36-03 | 2020-02-03 00:00:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15041 | 15028.9
 2020-02-03 00:00:40-03 | 2020-02-03 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15041 | 15029.1
 2020-02-03 00:00:48-03 | 2020-02-03 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15041 | 15027.3
 2020-02-03 00:00:56-03 | 2020-02-03 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15027.3 | 15042.5
 2020-02-03 00:01:04-03 | 2020-02-03 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15027.3 |   15041
 2020-02-03 00:01:08-03 | 2020-02-03 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15027.3 | 15039.2
